voltage in (V),all black v min (V),all black v mean (V),all black v max (V),black line min (V),black line mean (V),black line max (V),all white min (V),all white mean (V),all white max (V)
2.5,2.36,2.45,2.52,2.16,2.23,2.32,1.72,1.77,1.84
2.7,2.56,2.62,2.72,2.28,2.37,2.44,1.72,1.79,1.88
2.9,2.72,2.79,2.88,2.4,2.49,2.56,1.72,1.81,1.88
3.1,2.88,2.94,3.04,2.52,2.6,2.68,1.72,1.81,1.88
3.3,3.08,3.14,3.2,2.64,2.72,2.8,1.72,1.81,1.88
3.5,3.2,3.28,3.36,2.76,2.83,2.92,1.72,1.8,1.88
3.7,3.4,3.47,3.56,2.88,2.93,3,1.72,1.78,1.84
3.9,3.56,3.63,3.72,2.96,3.04,3.12,1.68,1.75,1.84
4.1,3.72,3.79,3.88,3.08,3.14,3.2,1.64,1.73,1.8
4.3,3.88,3.95,4.04,3.16,3.24,3.32,1.6,1.7,1.76
4.5,4.04,4.11,4.16,3.28,3.34,3.44,1.56,1.65,1.72
4.7,4.2,4.27,4.36,3.36,3.46,3.52,1.52,1.6,1.68
