voltage in (V),all black v min (V),all black v mean (V),all black v max (V),black line min (V),black line mean (V),black line max (V),all white min (V),all white mean (V),all white max (V)
2.5,2.4,2.47,2.52,2.2,2.27,2.36,1.84,1.92,2
2.7,2.6,2.63,2.68,2.36,2.43,2.48,1.92,2,2.08
2.9,2.76,2.83,2.88,2.52,2.56,2.6,2,2.06,2.12
3.1,2.96,3.01,3.04,2.64,2.71,2.76,2.04,2.1,2.16
3.3,3.12,3.18,3.24,2.76,2.83,2.88,2.08,2.15,2.2
3.5,3.32,3.35,3.4,2.88,2.96,3.04,2.12,2.19,2.24
3.7,3.48,3.52,3.56,3.04,3.11,3.16,2.16,2.22,2.28
3.9,3.64,3.71,3.76,3.16,3.24,3.32,2.2,2.25,2.32
4.1,3.8,3.86,3.92,3.32,3.37,3.44,2.2,2.28,2.36
4.3,4,4.03,4.08,3.44,3.5,3.56,2.24,2.3,2.36
4.5,4.2,4.23,4.28,3.56,3.61,3.68,2.24,2.32,2.4
4.7,4.32,4.39,4.44,3.68,3.73,3.8,2.28,2.33,2.4
