voltage in (V),all black v min (V),all black v mean (V),all black v max (V),black line min (V),black line mean (V),black line max (V),all white min (V),all white mean (V),all white max (V)
2.5,2.36,2.4,2.48,2.16,2.25,2.32,1.16,1.22,1.32
2.7,2.48,2.55,2.6,2.28,2.36,2.44,1.04,1.13,1.2
2.9,2.64,2.71,2.76,2.44,2.5,2.56,0.92,1.02,1.08
3.1,2.84,2.88,2.96,2.56,2.61,2.68,0.8,0.896,0.96
3.3,2.96,3.03,3.08,2.68,2.74,2.8,0.68,0.778,0.84
3.5,3.12,3.2,3.28,2.8,2.85,2.92,0.56,0.617,0.68
3.7,3.28,3.36,3.4,2.92,2.97,3.04,0.4,0.483,0.56
3.9,3.44,3.52,3.56,3.04,3.09,3.16,0.24,0.348,0.4
4.1,3.6,3.67,3.72,3.12,3.19,3.24,0.2,0.292,0.36
4.3,3.76,3.8,3.88,3.24,3.29,3.36,0.2,0.27,0.36
4.5,3.92,3.96,4.04,3.32,3.4,3.44,0.2,0.259,0.32
4.7,4.08,4.13,4.2,3.44,3.51,3.56,0.2,0.252,0.32
