voltage in (V),all black v min (V),all black v mean (V),all black v max (V),black line min (V),black line mean (V),black line max (V),all white min (V),all white mean (V),all white max (V)
2.5,2.4,2.46,2.52,2.24,2.32,2.4,1.48,1.56,1.64
2.7,2.56,2.61,2.68,2.4,2.47,2.52,1.48,1.54,1.6
2.9,2.76,2.81,2.88,2.56,2.61,2.68,1.44,1.5,1.56
3.1,2.88,2.95,3,2.72,2.77,2.84,1.4,1.47,1.52
3.3,3.04,3.12,3.16,2.84,2.9,2.96,1.36,1.41,1.48
3.5,3.28,3.32,3.4,2.96,3.04,3.12,1.24,1.34,1.4
3.7,3.44,3.48,3.56,3.12,3.18,3.24,1.2,1.26,1.32
3.9,3.6,3.65,3.72,3.28,3.33,3.4,1.12,1.17,1.24
4.1,3.76,3.83,3.88,3.4,3.46,3.52,1,1.09,1.16
4.3,3.92,3.99,4.04,3.52,3.58,3.64,0.92,0.994,1.08
4.5,4.08,4.14,4.2,3.64,3.71,3.76,0.8,0.881,0.96
4.7,4.28,4.32,4.36,3.76,3.84,3.92,0.72,0.784,0.84
