voltage in (V),all black v min (V),all black v mean (V),all black v max (V),black line min (V),black line mean (V),black line max (V),all white min (V),all white mean (V),all white max (V)
2.5,2.16,2.19,2.24,1.76,1.82,1.88,0.16,0.235,0.32
2.7,2.28,2.33,2.36,1.8,1.88,1.96,0.16,0.226,0.28
2.9,2.4,2.43,2.48,1.88,1.92,2,0.16,0.221,0.28
3.1,2.48,2.56,2.6,1.88,1.97,2.04,0.16,0.216,0.28
3.3,2.64,2.68,2.72,1.92,2,2.08,0.16,0.213,0.28
3.5,2.76,2.8,2.84,1.96,2.03,2.1,0.16,0.209,0.28
3.7,2.84,2.9,2.96,2,2.06,2.12,0.16,0.207,0.28
3.9,3,3.03,3.08,2,2.08,2.16,0.12,0.205,0.28
4.1,3.08,3.12,3.16,2.04,2.11,2.16,0.12,0.204,0.28
4.3,3.2,3.23,3.28,2.04,2.13,2.2,0.12,0.202,0.28
4.5,3.32,3.36,3.4,2.08,2.15,2.2,0.12,0.201,0.26
4.7,3.4,3.45,3.52,2.08,2.16,2.24,0.12,0.199,0.24
