voltage in (V),all black v min (V),all black v mean (V),all black v max (V),black line min (V),black line mean (V),black line max (V),all white min (V),all white mean (V),all white max (V)
2.5,2.28,2.33,2.4,1.88,1.96,2.04,1.08,1.18,1.28
2.7,2.4,2.47,2.56,1.96,2.04,2.12,1,1.11,1.2
2.9,2.56,2.63,2.72,2,2.1,2.2,0.92,1.03,1.12
3.1,2.72,2.77,2.84,2.08,2.18,2.28,0.84,0.924,1.04
3.3,2.84,2.91,3,2.16,2.25,2.32,0.72,0.829,0.92
3.5,3,3.05,3.12,2.24,2.31,2.4,0.6,0.711,0.8
3.7,3.12,3.21,3.28,2.28,2.37,2.44,0.52,0.59,0.68
3.9,3.28,3.37,3.44,2.32,2.41,2.48,0.36,0.457,0.56
4.1,3.4,3.5,3.56,2.4,2.47,2.56,0.24,0.357,0.44
4.3,3.56,3.64,3.72,2.44,2.53,2.6,0.2,0.302,0.4
4.5,3.68,3.77,3.84,2.52,2.57,2.68,0.2,0.284,0.4
4.7,3.84,3.9,3.96,2.56,2.62,2.72,0.16,0.273,0.36
