voltage in (V),all black v min (V),all black v mean (V),all black v max (V),black line min (V),black line mean (V),black line max (V),all white min (V),all white mean (V),all white max (V)
2.5,2.08,2.16,2.2,1.44,1.51,1.56,0.2,0.262,0.32
2.7,2.2,2.27,2.32,1.44,1.49,1.56,0.2,0.242,0.32
2.9,2.36,2.38,2.44,1.4,1.48,1.52,0.16,0.235,0.28
3.1,2.44,2.5,2.56,1.36,1.45,1.52,0.16,0.228,0.28
3.3,2.56,2.6,2.64,1.36,1.41,1.48,0.16,0.223,0.28
3.5,2.68,2.71,2.76,1.32,1.37,1.44,0.16,0.22,0.28
3.7,2.76,2.82,2.88,1.24,1.33,1.4,0.16,0.218,0.28
3.9,2.88,2.92,2.96,1.2,1.27,1.36,0.16,0.215,0.28
4.1,2.96,3.03,3.08,1.16,1.22,1.28,0.16,0.213,0.28
4.3,3.08,3.12,3.16,1.08,1.17,1.24,0.16,0.211,0.28
4.5,3.16,3.23,3.28,1.04,1.11,1.16,0.16,0.21,0.28
4.7,3.28,3.32,3.36,1,1.06,1.12,0.16,0.209,0.28
